alli_q,answer_20
Will I ever get over my clastrophobia?,Outlook good
Will I ever have a better relationship with my brother?,Without a doubt
Will I ever have a good relationship with my father?,Without a doubt
Will I ever stop having panic attacks?,Outlook good
Will I finally make friends this year?,Without a doubt
Will I find a better way of dealing with Sarah's temper?,"As I see it, yes"
Will I find a good ending for my story?,Without a doubt
Will I find a new hobby that brings me joy and isn't too expensive?,Yes definitely
Will I get into college?,Without a doubt
Will I get my anxiety down to a more managable level?,You may rely on it
Will I get over my fear and ask for a raise?,"As I see it, yes"
Will I get over my fear of flying?,Most likely
Will I get over my fear of spiders?,Outlook good
Will I get the guts to ask Shannel out?,Signs point to yes
Will I get to meet a celebrity on my next trip to LA?,Without a doubt
Will I have a chance to attend a networking event?,"As I see it, yes"
Will I have a chance to attend a personal development retreat?,Outlook good
Will I have a chance to attend a professional development seminar this year?,Signs point to yes
Will I have a chance to attend a professional development workshop?,Outlook good
Will I have a chance to connect with a childhood friend?,Most likely
Will I have a chance to connect with a mentor?,Outlook good
Will I have a chance to participate in a team-building workshop?,Most likely
Will I have a chance to present my research at a conference this year?,Outlook good
Will I have a chance to showcase my talents for my parents?,"As I see it, yes"
Will I have a chance to showcase my talents in public?,Yes
Will I have a chance to showcase my talents this week?,Yes
Will I have a chance to volunteer for a cause I care about?,Yes definitely
Will I have a positive impact on my community?,Without a doubt
Will I have a positive impact on someone's life through mentoring?,"As I see it, yes"
Will I have a positive impact on someone's life today?,Outlook good
Will I have a positive impact on the environment?,Outlook good
Will I like my new job?,Signs point to yes
Will I lose those last 5lbs?,Outlook good
Will I make a new professional connection this month?,Outlook good
Will I make a positive impact on someone's life today?,Most likely
Will I meet my future partner in a chance encounter?,Signs point to yes
Will I meet someone special this year?,Most likely
Will I overcome a fear that's been holding me back?,Signs point to yes
Will I overcome this?,Signs point to yes
Will I pass my upcoming exam?,Outlook good
Will I progress in my career?,Yes
Will I push myself to apply to grad school this year?,Yes definitely
Will I receive good advice from my mentor?,You may rely on it
Will I receive positive feedback on a recent creative project?,Most likely
Will I receive positive feedback on a recent presentation?,"As I see it, yes"
Will I receive positive feedback on a recent project at work?,Most likely
Will I receive positive feedback on my ideas?,Signs point to yes
Will I receive support from friends in pursuing my goals?,Most likely
Will I receive support from my family in pursuing my goals?,Outlook good
Will I receive support from my friends and family?,"As I see it, yes"
Will I receive unexpected feedback that helps me grow?,Most likely
Will I receive unexpected positive feedback on my work?,Outlook good
Will I receive unexpected support from a friend?,Outlook good
Will I receive unexpected support from my colleagues?,Outlook good
Will I receive valuable advice from a friend?,You may rely on it
Will I successfully complete a challenging task at work?,Outlook good
Will I successfully launch a creative project?,"As I see it, yes"
Will I successfully launch a side business?,Signs point to yes
Will I successfully learn a new language this year?,Outlook good
Will I successfully overcome a fear of networking?,Most likely
Will I successfully overcome a fear of public speaking?,Outlook good
Will I successfully overcome a fear that's been holding me back?,Outlook good
Will I successfully overcome a fear that's been limiting my potential?,"As I see it, yes"
Will I throw a successful charity fundraiser?,Outlook good
Will joining a book club help my public speaking skills?,It is decidedly so
Will journaling help me plan my future?,It is certain
Will Katerina and I become good friends?,Signs point to yes
Will Mark ever speak to me again?,Signs point to yes
Will Martin forgive me?,"As I see it, yes"
Will meditation help with my anxiety?,Most likely
Will my artwork be selected for the exhibition?,Outlook good
Will my backyard look better with twinklie lights?,Yes definitely
Will my brother ever like me?,You may rely on it
Will my client meeting go well?,Most likely
Will my dedication to fitness lead to noticeable results?,Yes
Will my next adventure be exciting and memorable?,Most likely
Will my next adventure be filled with excitement?,Outlook good
Will my one-woman show get good reviews?,Outlook good
Will my perseverance pay off in achieving my goals?,Yes definitely
Will my problems ever get easier?,Outlook good
Will my upcoming project at work be successful?,Signs point to yes
Will my writing partnership work out?,Most likely
Will our art show get good reviews?,"As I see it, yes"
Will people tear up the dance floor at our next DJ set?,It is decidedly so
Will Stacey give a good speach at my wedding?,Signs point to yes
Will taking a walk every day help me feel better?,"As I see it, yes"
Will taking French classes help me make new friends?,Signs point to yes
Will the Ghosts tv show be renewed for another season?,Yes
Will the United States ever address gun violence?,Yes
Will therapy help with my emotional intelligence?,You may rely on it
Will these union negotiations end well for the workers?,It is certain
Will this kitchen renovation ever get done?,Without a doubt
Will we be able to adopt in the next few years?,Most likely
Will we be able to adopt kids within the next two years?,Most likely
Will we ever update our bathroom?,You may rely on it
Will we get through this?,Outlook good
Will we write good songs on our next album?,Yes definitely
Would a new hobby help me relax?,Signs point to yes
Would high heels make me look tall enough to convince my boss to give me a literal raise?,You may rely on it
Would I be paid more if I was more attractive?,Outlook good
Would I enjoy doing more DIY projects around the home?,Most likely
Would I get a promotion if I dressed better?,Most likely
Would I like Love is Blind?,"As I see it, yes"
Would starting a skincare routine help my confidence?,Yes definitely
Am I donating enough of my income to charity?,Better not tell you now
Am I organized enough to manage my schedule as a freelancer?,"Reply hazy, try again"
Am I psychic,Very doubtful
Am I the asshole?,My sources say no
Am I too old to start doing gymnastics?,My reply is no
Are my next door neighbors assassins?,Don't count on it
Are my next door neighbors government spies?,My sources say no
Are people in book clubs smarter than other people?,Very doubtful
Are psychics real?,Don't count on it
Are you psychic?,My sources say no
Can birds swim?,Very doubtful
Can friends make fun of each other?,Don't count on it
Can I keep this secret for another year?,Outlook not so good
Can I learn the bagpipes?,Don't count on it
Can I trust myself to use a rotorary saw?,My reply is no
Can pigs fly?,My sources say no
Do I ask to be on the big project with higher profile but intense hours?,Outlook not so good
Do I need a home theater? ,My reply is no
Do I need new headshots?,My sources say no
Do I watch too much tv?,Concentrate and ask again
Do real men clean their own gutters?,Very doubtful
Do you think I can skip that training?,My sources say no
Does anyone under 50 know how to play pinochle?,Outlook not so good
Does it annoy my parents when I arrive late?,Yes
Does Maddie want a surprise party this year?,Don't count on it
Does writing social media posts make any difference in social activism?,Outlook not so good
I have gained too much weight to use my old photos?,Cannot predict now
Is AI going to make coding absolute?,Outlook not so good
Is archery a dangerous hobby?,Yes definitely
Is astrology real?,Don't count on it
Is being spontaneous a bad thing?,My sources say no
Is Eric Adams going to get re-elected?,Don't count on it
Is gossip wrong?,My reply is no
Is High School Musical a good movie?,Very doubtful
Is it a good idea to meet your heros?,My sources say no
Is it a good time to buy a house?,Cannot predict now
Is it a good time to start a YouTube channel?,"Reply hazy, try again"
Is it going to rain today?,"Reply hazy, try again"
Is it going to snow this winter?,Ask again later
Is it ok for me to make fun of Marcos' accent?,My reply is no
Is it ok to break the law for fun?,My reply is no
Is it ok to dine and dash?,My reply is no
Is it ok to hurt people?,My reply is no
Is it ok to kick puppies?,My reply is no
Is it ok to not brush your teeth?,My reply is no
Is it ok to pee in the bed?,My reply is no
Is murder wrong?,Yes
Is my computer going to be able to handle all my new software?,Very doubtful
Is my train going to be delayed?,Outlook not so good
Is now a good time for Mark and I to start our own podcast?,Outlook not so good
Is soul music the same as hip hop?,My reply is no
Is that country club racist?,My sources say no
Is there going to be expanded student loan forgiveness?,Outlook not so good
Is there such a thing as a lucky penny?,Very doubtful
Is this a good time to start ballroom dancing?,Better not tell you now
Is today a good day to take risks?,Concentrate and ask again
Should I join my college's improv team?,My sources say no
Should ask to move desks so I don't have to hear Karen's loud chewing?,Better not tell you now
Should I audition for the new improv troupe?,My sources say no
Should I become a motivational speaker?,My sources say no
Should I become a mushroom farmer?,Ask again later
Should I buy a gun?,My reply is no
Should I buy more throw pillows?,My sources say no
Should I buy those expensive boots that are soo cute?,My sources say no
Should I confront David about cheating on Anika?,Ask again later
Should I do cut down that tree in the backyard?,Very doubtful
Should I do the Whole 30 this month?,Very doubtful
Should I get a smart house?,My sources say no
Should I get rid of my blue ray collection?,Most likely
Should I get ride of my dvds?,Most likely
Should I give up dairy?,Most likely
Should I go on a service trip?,My sources say no
Should I go on the friends trip this May?,My reply is no
Should I go to vegas for some gambling?,My reply is no
Should I have an affair?,My reply is no
Should I install a skylight?,My sources say no
Should I invest all my money into fossil fuels?,My reply is no
Should I invest in bitcoin?,Outlook not so good
Should I invest in cryptocurrency?,Outlook not so good
Should I learn how to make stained glass windows?,Cannot predict now
Should I learn how to play the flute?,Concentrate and ask again
Should I learn the mandolin?,Outlook good
Should I learn to play the drums?,Ask again later
Should I learn to play the harp?,My sources say no
Should I order another drink?,My reply is no
Should I pick dare in truth or dare?,My sources say no
Should I post more often on my block's message board?,My sources say no
Should I pursue a new career path?,Ask again later
Should I quit my job and go freelance?,"Reply hazy, try again"
Should I quit my job and really dedicate myself to my writing partnership with Pat?,Concentrate and ask again
Should I quit my job even though I haven't found a new one yet?,Concentrate and ask again
Should I reconnect with an old mentor for guidance?,Outlook good
Should I renovate my house myself to save money?,Outlook not so good
Should I rob a bank?,My reply is no
Should I run for political office?,Outlook not so good
Should I sell my condo?,Ask again later
Should I sign up for the silent retreat?,Better not tell you now
Should I sign up for Tiktok?,My sources say no
Should I start a podcast about knitting?,Very doubtful
Should I start a podcast with my friend Jeremy about hiking?,Very doubtful
Should I start a wellness content account?,Very doubtful
Should I start playing bridge?,Outlook good
Should I start writing my own poetry?,Outlook good
Should I stop reading the news?,Ask again later
Should I take investing advice from my uncle Bruce?,Better not tell you now
Should I tell Panda that her idea sucks?,Cannot predict now
Should I tell Pete that I saw Sanead on a dating app?,Better not tell you now
Should I throw away Joey's favorite toy?,My sources say no
Should I trust the red flags and turn down that job offer?,Better not tell you now
Should I try doing a set at an open mic?,"Reply hazy, try again"
Should I try MDMA?,"Reply hazy, try again"
Should I try to rewire the oven myself?,My sources say no
Should I write a blog with my insights on current events?,My sources say no
Should we enroll the kids in private school?,Ask again later
Should we move to Arizona?,Outlook not so good
Should we put up wallpaper?,My sources say no
Should we relocate to Florida to have more time in the sun?,Outlook not so good
Should we tear out the carpet?,Ask again later
Will a security system hinder my privacy?,Most likely
Will anyone notice if I skip the mandatory training?,Better not tell you now
Will David quit so I don't have share an office with him anymore?,Outlook not so good
Will Edy help set up for the party tomorrow?,Very doubtful
Will going back to school drown me in debt?,My sources say no
Will I be forced to do audience participation if I go to this play?,Outlook not so good
Will I become a famous romance novel writer?,Very doubtful
Will I ever actually use this new software?,Don't count on it
Will I ever be able to quit eating cheese?,Concentrate and ask again
Will I ever have a pet kangeroo?,My reply is no
Will I finally feel accomplished if I install the satelite tv on my own?,My reply is no
Will I receive recognition for my achievements at work?,Concentrate and ask again
Will I receive recognition for my contributions to a project?,Cannot predict now
Will I receive recognition for my hard work?,Ask again later
Will I receive unexpected financial support in the near future?,Very doubtful
Will I receive unexpected gifts this month?,Outlook not so good
Will I receive unexpected good news about a project?,Ask again later
Will I receive unexpected good news soon?,Cannot predict now
Will I receive unexpected money soon?,Outlook not so good
Will I receive unexpected recognition for my efforts?,Concentrate and ask again
Will I receive unexpected support during a challenging project?,Cannot predict now
Will I successfully implement a new routine for better productivity?,Ask again later
Will I win the lottery?,Don't count on it
Will Mariko be surprised tomorrow?,My sources say no
Will marriage solve all my problems?,Very doubtful
Will my boss understand the delay in my project timeline?,Cannot predict now
Will my friends actually read the books if I start a new book club?,"Reply hazy, try again"
Will my mom apologize for hurting my feelings?,Better not tell you now
Will my pet learn a new trick soon?,Ask again later
Will this pie recipe task good?,Better not tell you now
Will Uncle Arnie leave me all his money?,Cannot predict now
Will we ever find out what really happened to JFK?,"Reply hazy, try again"
Would chess help me relax?,Most likely
Are humans going to fight climate change?,Signs point to yes
Are team projects good for you?,Signs point to yes
Are you good at math?,Without a doubt
Can I get over my stagefright?,Yes definitely
"Can I get tickets to see a live taping of ""Adulting""?",Signs point to yes
Do birds enjoy flying?,Without a doubt
Do I make better chocolate chip cookies than my aunt amy?,Outlook good
Do I need new locks?,"As I see it, yes"
Do I need to become more open to collaboration?,Signs point to yes
Do I need to clean my closet?,Most likely
Do I need to clean my desk?,"As I see it, yes"
Do I need to clean my room?,Signs point to yes
Do I need to get a side hustle?,Outlook good
Do I need to get healthy?,Outlook good
Do I need to quit smoking?,It is decidedly so
Do I need to talk to my dad about his license?,Most likely
Do people who volunteer live longer?,Signs point to yes
Does praying help your mental health?,Signs point to yes
Does this object bring me joy?,Outlook good
Does voting matter?,Without a doubt
"Is ""All I want for Christmas"" the best holiday song of all time?",It is certain
Is December a good time of year to donate extra money?,Yes definitely
Is Eric good in bed?,Outlook good
Is it a good time to plan a weekend getaway with friends?,Outlook good
Is it a good time to start a savings plan?,It is decidedly so
Is it important to vote in local elections?,It is certain
Is jazz music good?,You may rely on it
Is Love Island (UK) a good tv show?,You may rely on it
Is my apartment too messy?,Without a doubt
Is nostalgia a toxic impulse?,"As I see it, yes"
Is now a good time to upgrade my personal finance skills?,It is certain
Is the sky blue?,Signs point to yes
Is this a good time to start writing my novel?,Signs point to yes
Is this a good year to move to Canada?,"As I see it, yes"
Is this the right time to apologize to Kevin?,"As I see it, yes"
Is this the year that I can stick to healthier habits?,Signs point to yes
Is volunteering good for your health?,It is decidedly so
Is wood working a dangerous hobby for me to try?,"As I see it, yes"
Should I apologize?,Outlook good
Should I ask if I hurt his feelings?,"As I see it, yes"
Should I be more open with my relatives?,Signs point to yes
Should I be more proactive?,Most likely
Should I be the bigger person?,Signs point to yes
Should I be the one to break the silence?,Outlook good
Should I be tipping more than 10%?,Yes
Should I become Big Brother?,Outlook good
Should I call my parents more often?,Most likely
Should I consider adopting a healthier diet and lifestyle?,You may rely on it
Should I consider volunteering for a local charity?,It is decidedly so
Should I declutter my apartment during the holiday vacation?,It is certain
Should I dedicate time to meditation for mental clarity?,It is decidedly so
Should I dedicate time to personal reflection and growth?,Outlook good
Should I delete my Facebook account?,"As I see it, yes"
Should I delete my Instagram account?,Most likely
Should I donate money to my local library?,Yes definitely
Should I donate money to my local school fundraiser?,"As I see it, yes"
Should I drop $20 on the ground just to make someone else have a nice surprise?,Outlook good
Should I embrace change ?,Yes definitely
Should I find more ways to be creative in my freetime?,"As I see it, yes"
Should I flag my ethical concerns to my boss?,Most likely
Should I get a high yield savings account?,Yes
Should I get a new hobby to make friends?,Outlook good
Should I get a water barrel?,Most likely
Should I have our drainage inspected?,Most likely
Should I invest in developing my personal brand online?,"As I see it, yes"
Should I invest in eco-friendly lifestyle changes?,Yes
Should I invite my friends to my gymnastics competition?,Yes definitely
Should I invite my parents to my lecture?,Yes
Should I join a non-English speaking meet up group to practice language skills?,Most likely
Should I join AA?,Outlook good
Should I join that book club even though I'm dyslexic?,Outlook good
Should I keep applying to jobs?,Yes
Should I learn a new language?,"As I see it, yes"
Should I organize this year's school fundraiser?,Outlook good
Should I pay my taxes?,It is certain
Should I plant indigenous plants in my backyard?,It is decidedly so
Should I prioritize relaxation in the next few days?,Signs point to yes
Should I pursue a career change for better work-life balance?,Outlook good
Should I pursue a more sustainable lifestyle?,Yes
Should I put more effort into my friendships?,Most likely
Should I quit smoking?,It is certain
Should I re-wild my garden?,It is decidedly so
Should I reach out to new potential clients?,Outlook good
Should I read the classics?,Most likely
Should I register with a particular political party so I can vote in the primaries?,"As I see it, yes"
Should I see a therapist?,Outlook good
Should I sign up for an advising session next week?,"As I see it, yes"
Should I speak at my grandpa's funeral?,Signs point to yes
Should I spend more time in nature for peace of mind?,It is decidedly so
Should I spend more time listening to music?,Yes
Should I spend more time outdoors for overall well-being?,It is certain
Should I stage an intervention for Jimmy?,Signs point to yes
Should I start a band with my friends?,Outlook good
Should I start a gratitude journal?,Most likely
Should I start listening to different genres of music?,It is decidedly so
Should I start saving for retirement?,It is decidedly so
Should I start saving up for a trip to Paris?,Outlook good
Should I stop smoking weed?,Signs point to yes
Should I tell Ann that I felt misled?,Yes definitely
Should I tell aunt Wendy to stop commenting on my weight?,Without a doubt
Should I tell Ernie that they need to shower more?,Signs point to yes
Should I tell Kelly that I miss her?,Outlook good
Should I tell Miranda that everyone was talking about the smelly fish?,"As I see it, yes"
Should I tell Molly how unhappy I am?,Most likely
Should I tell my boyfriend that he eats too loudly?,"As I see it, yes"
Should I try to find a paid internship this summer?,Outlook good
Should I try to travel more?,Outlook good
Should I try to volunteer within my own community?,Yes
Should I upgrade my house's energy efficience?,Signs point to yes
Should I volunteer as a tutor?,Yes
Should I volunteer for a charitable cause?,Yes
Should I volunteer for this year's community clean up?,Yes definitely
Should I volunteer to design this year's t-shirt?,It is certain
Should I volunteer with my local meals on wheels group?,It is decidedly so
Should Morgan and I write a TV pilot?,Outlook good
Should my team at work start a new creative project?,Yes
Should we repaint our bedroom?,"As I see it, yes"
Should we try eating less meat during family dinners?,Yes
Will a gratitude journal help with my depression?,Most likely
Will adopting a pet help with my loneliness?,"As I see it, yes"
Will eating expired fish get me sick?,It is certain
Will going to temple make me feel better?,Outlook good
Will helping my mom with dinner make me a better cook?,Most likely
Will I become more comfortable in my own skin over time?,It is decidedly so
Will I ever fall in love?,You may rely on it
Will I ever know how to save my own PDFs?,Yes
Will I have a chance to attend a professional development seminar?,Without a doubt
Will I have a chance to volunteer for a cause I deeply care about?,Yes
Will I have a chance to volunteer for a cause I'm passionate about?,It is certain
Will I have a chance to volunteer for a meaningful cause?,It is decidedly so
Will I have to give a speach at my friend's wedding?,Signs point to yes
Will I learn to gossip less?,Signs point to yes
Will I make friends at my new job?,"As I see it, yes"
Will I still feel like myself if I go on anti-depressants?,You may rely on it
Will I successfully overcome a fear of public speaking in professional settings?,Without a doubt
Will my team win the championship?,Outlook good
Will the production companies meet the workers demands?,Signs point to yes
Would yoga help me stay calm?,Most likely
