alli_q,answer_4
Will I have a chance to showcase my talents in public?,Outlook good
Will I have a chance to showcase my talents this week?,Outlook good
Will I have a chance to volunteer for a cause I care about?,Outlook good
Will I have a positive impact on my community?,Outlook good
Will I have a positive impact on someone's life through mentoring?,Outlook good
Will I have a positive impact on someone's life today?,Outlook good
Will I have a positive impact on the environment?,Outlook good
Will I like my new job?,Outlook good
Will I lose those last 5lbs?,Outlook good
Will I make a new professional connection this month?,Outlook good
Will I make a positive impact on someone's life today?,Outlook good
Will I meet my future partner in a chance encounter?,Outlook good
Will I meet someone special this year?,Outlook good
Will I overcome a fear that's been holding me back?,Outlook good
Will I overcome this?,Outlook good
Will I pass my upcoming exam?,Outlook good
Will I progress in my career?,Outlook good
Will I push myself to apply to grad school this year?,Outlook good
Will I receive good advice from my mentor?,Outlook good
Will I receive positive feedback on a recent creative project?,Outlook good
Will I receive positive feedback on a recent presentation?,Outlook good
Will I receive positive feedback on a recent project at work?,Outlook good
Will I receive positive feedback on my ideas?,Outlook good
Will I receive support from friends in pursuing my goals?,Outlook good
Will I receive support from my family in pursuing my goals?,Outlook good
Will I receive support from my friends and family?,Outlook good
Will I receive unexpected feedback that helps me grow?,Outlook good
Will I receive unexpected positive feedback on my work?,Outlook good
Will I receive unexpected support from a friend?,Outlook good
Will I receive unexpected support from my colleagues?,Outlook good
Will I receive valuable advice from a friend?,Outlook good
Will I successfully complete a challenging task at work?,Outlook good
Will I successfully launch a creative project?,Outlook good
Will I successfully launch a side business?,Outlook good
Will I successfully learn a new language this year?,Outlook good
Will I successfully overcome a fear of networking?,Outlook good
Will I successfully overcome a fear of public speaking?,Outlook good
Will I successfully overcome a fear that's been holding me back?,Outlook good
Will I successfully overcome a fear that's been limiting my potential?,Outlook good
Will I throw a successful charity fundraiser?,Outlook good
Will joining a book club help my public speaking skills?,Outlook good
Will journaling help me plan my future?,Outlook good
Will Katerina and I become good friends?,Outlook good
Will Mark ever speak to me again?,Outlook good
Will Martin forgive me?,Outlook good
Will meditation help with my anxiety?,Outlook good
Will my artwork be selected for the exhibition?,Outlook good
Will my backyard look better with twinklie lights?,Outlook good
Will my brother ever like me?,Outlook good
Will my client meeting go well?,Outlook good
Will my dedication to fitness lead to noticeable results?,Outlook good
Will my next adventure be exciting and memorable?,Outlook good
Will my next adventure be filled with excitement?,Outlook good
Will my one-woman show get good reviews?,Outlook good
Will my perseverance pay off in achieving my goals?,Outlook good
Will my problems ever get easier?,Outlook good
Will my upcoming project at work be successful?,Outlook good
Will my writing partnership work out?,Outlook good
Will our art show get good reviews?,Outlook good
Will people tear up the dance floor at our next DJ set?,Outlook good
Will Stacey give a good speach at my wedding?,Outlook good
Will taking a walk every day help me feel better?,Outlook good
Will taking French classes help me make new friends?,Outlook good
Will the Ghosts tv show be renewed for another season?,Outlook good
Will the United States ever address gun violence?,Outlook good
Will therapy help with my emotional intelligence?,Outlook good
Will these union negotiations end well for the workers?,Outlook good
Will this kitchen renovation ever get done?,Outlook good
Will we be able to adopt in the next few years?,Outlook good
Will we be able to adopt kids within the next two years?,Outlook good
Will we ever update our bathroom?,Outlook good
Will we get through this?,Outlook good
Will we write good songs on our next album?,Outlook good
Would a new hobby help me relax?,Outlook good
Would high heels make me look tall enough to convince my boss to give me a literal raise?,Outlook good
Would I be paid more if I was more attractive?,Outlook good
Would I enjoy doing more DIY projects around the home?,Outlook good
Would I get a promotion if I dressed better?,Outlook good
Would I like Love is Blind?,Outlook good
Would starting a skincare routine help my confidence?,Outlook good
Am I donating enough of my income to charity?,Outlook not so good
Am I organized enough to manage my schedule as a freelancer?,Outlook not so good
Am I psychic,Outlook not so good
Am I the asshole?,Outlook not so good
Am I too old to start doing gymnastics?,Outlook not so good
Are my next door neighbors assassins?,Outlook not so good
Are my next door neighbors government spies?,Outlook not so good
Are people in book clubs smarter than other people?,Outlook not so good
Are psychics real?,Outlook not so good
Are you psychic?,Outlook not so good
Can birds swim?,Outlook not so good
Can friends make fun of each other?,Outlook not so good
Can I keep this secret for another year?,Outlook not so good
Can I learn the bagpipes?,Outlook not so good
Can I trust myself to use a rotorary saw?,Outlook not so good
Can pigs fly?,Outlook not so good
Do I ask to be on the big project with higher profile but intense hours?,Outlook not so good
Do I need a home theater? ,Outlook not so good
Do I need new headshots?,Outlook not so good
Do I watch too much tv?,Outlook not so good
Do real men clean their own gutters?,Outlook not so good
Do you think I can skip that training?,Outlook not so good
Does anyone under 50 know how to play pinochle?,Outlook not so good
Does it annoy my parents when I arrive late?,Outlook not so good
Does Maddie want a surprise party this year?,Outlook not so good
Does writing social media posts make any difference in social activism?,Outlook not so good
I have gained too much weight to use my old photos?,Cannot predict now
Is AI going to make coding absolute?,Outlook not so good
Is archery a dangerous hobby?,Outlook not so good
Is astrology real?,Outlook not so good
Is being spontaneous a bad thing?,Outlook not so good
Is Eric Adams going to get re-elected?,Outlook not so good
Is gossip wrong?,Outlook not so good
Is High School Musical a good movie?,Outlook not so good
Is it a good idea to meet your heros?,Outlook not so good
Is it a good time to buy a house?,Outlook not so good
Is it a good time to start a YouTube channel?,Outlook not so good
Is it going to rain today?,Outlook not so good
Is it going to snow this winter?,Outlook not so good
Is it ok for me to make fun of Marcos' accent?,Outlook not so good
Is it ok to break the law for fun?,Outlook not so good
Is it ok to dine and dash?,Outlook not so good
Is it ok to hurt people?,Outlook not so good
Is it ok to kick puppies?,Outlook not so good
Is it ok to not brush your teeth?,Outlook not so good
Is it ok to pee in the bed?,Outlook not so good
Is murder wrong?,Outlook not so good
Is my computer going to be able to handle all my new software?,Outlook not so good
Is my train going to be delayed?,Outlook not so good
Is now a good time for Mark and I to start our own podcast?,Outlook not so good
Is soul music the same as hip hop?,Outlook not so good
Is that country club racist?,Outlook not so good
Is there going to be expanded student loan forgiveness?,Outlook not so good
Is there such a thing as a lucky penny?,Outlook not so good
Is this a good time to start ballroom dancing?,Outlook not so good
Is today a good day to take risks?,Outlook not so good
Should I join my college's improv team?,Outlook not so good
Should ask to move desks so I don't have to hear Karen's loud chewing?,Outlook not so good
Should I audition for the new improv troupe?,Outlook not so good
Should I become a motivational speaker?,Outlook not so good
Should I become a mushroom farmer?,Cannot predict now
Should I buy a gun?,Outlook not so good
Should I buy more throw pillows?,Outlook not so good
Should I buy those expensive boots that are soo cute?,Outlook not so good
Should I confront David about cheating on Anika?,Outlook not so good
Should I do cut down that tree in the backyard?,Outlook not so good
Should I do the Whole 30 this month?,Outlook not so good
Should I get a smart house?,Outlook not so good
Should I get rid of my blue ray collection?,Outlook not so good
Should I get ride of my dvds?,Outlook not so good
Should I give up dairy?,Outlook not so good
Should I go on a service trip?,Outlook not so good
Should I go on the friends trip this May?,Outlook not so good
Should I go to vegas for some gambling?,Outlook not so good
Should I have an affair?,Outlook not so good
Should I install a skylight?,Outlook not so good
Should I invest all my money into fossil fuels?,Outlook not so good
Should I invest in bitcoin?,Outlook not so good
Should I invest in cryptocurrency?,Outlook not so good
Should I learn how to make stained glass windows?,Outlook not so good
Should I learn how to play the flute?,Outlook not so good
Should I learn the mandolin?,Outlook not so good
Should I learn to play the drums?,Outlook not so good
Should I learn to play the harp?,Outlook not so good
Should I order another drink?,Outlook not so good
Should I pick dare in truth or dare?,Outlook not so good
Should I post more often on my block's message board?,Outlook not so good
Should I pursue a new career path?,Cannot predict now
Should I quit my job and go freelance?,Cannot predict now
Should I quit my job and really dedicate myself to my writing partnership with Pat?,Cannot predict now
Should I quit my job even though I haven't found a new one yet?,Outlook not so good
Should I reconnect with an old mentor for guidance?,Outlook good
Should I renovate my house myself to save money?,Outlook not so good
Should I rob a bank?,Outlook not so good
Should I run for political office?,Outlook not so good
Should I sell my condo?,Cannot predict now
Should I sign up for the silent retreat?,Cannot predict now
Should I sign up for Tiktok?,Outlook not so good
Should I start a podcast about knitting?,Outlook not so good
Should I start a podcast with my friend Jeremy about hiking?,Outlook not so good
Should I start a wellness content account?,Outlook not so good
Should I start playing bridge?,Outlook good
Should I start writing my own poetry?,Outlook good
Should I stop reading the news?,Cannot predict now
Should I take investing advice from my uncle Bruce?,Outlook not so good
Should I tell Panda that her idea sucks?,Outlook not so good
Should I tell Pete that I saw Sanead on a dating app?,Outlook not so good
Should I throw away Joey's favorite toy?,Outlook not so good
Should I trust the red flags and turn down that job offer?,Outlook not so good
Should I try doing a set at an open mic?,Outlook not so good
Should I try MDMA?,Outlook not so good
Should I try to rewire the oven myself?,Outlook not so good
Should I write a blog with my insights on current events?,Outlook not so good
Should we enroll the kids in private school?,Outlook not so good
Should we move to Arizona?,Outlook not so good
Should we put up wallpaper?,Outlook not so good
Should we relocate to Florida to have more time in the sun?,Outlook not so good
Should we tear out the carpet?,Outlook not so good
Will a security system hinder my privacy?,Outlook not so good
Will anyone notice if I skip the mandatory training?,Outlook not so good
Will David quit so I don't have share an office with him anymore?,Outlook not so good
Will Edy help set up for the party tomorrow?,Outlook not so good
Will going back to school drown me in debt?,Outlook not so good
Will I be forced to do audience participation if I go to this play?,Outlook not so good
Will I become a famous romance novel writer?,Outlook not so good
Will I ever actually use this new software?,Outlook not so good
Will I ever be able to quit eating cheese?,Outlook not so good
Will I ever have a pet kangeroo?,Outlook not so good
Will I finally feel accomplished if I install the satelite tv on my own?,Outlook not so good
Will I receive recognition for my achievements at work?,Cannot predict now
Will I receive recognition for my contributions to a project?,Cannot predict now
Will I receive recognition for my hard work?,Cannot predict now
Will I receive unexpected financial support in the near future?,Outlook not so good
Will I receive unexpected gifts this month?,Outlook not so good
Will I receive unexpected good news about a project?,Cannot predict now
Will I receive unexpected good news soon?,Cannot predict now
Will I receive unexpected money soon?,Outlook not so good
Will I receive unexpected recognition for my efforts?,Cannot predict now
Will I receive unexpected support during a challenging project?,Cannot predict now
Will I successfully implement a new routine for better productivity?,Outlook not so good
Will I win the lottery?,Outlook not so good
Will Mariko be surprised tomorrow?,Outlook not so good
Will marriage solve all my problems?,Outlook not so good
Will my boss understand the delay in my project timeline?,Outlook not so good
Will my friends actually read the books if I start a new book club?,Outlook not so good
Will my mom apologize for hurting my feelings?,Outlook not so good
Will my pet learn a new trick soon?,Cannot predict now
Will this pie recipe task good?,Outlook not so good
Will Uncle Arnie leave me all his money?,Cannot predict now
Will we ever find out what really happened to JFK?,Cannot predict now
Would chess help me relax?,Outlook good
Are humans going to fight climate change?,Signs point to yes
Are team projects good for you?,Signs point to yes
Are you good at math?,Signs point to yes
Can I get over my stagefright?,Signs point to yes
"Can I get tickets to see a live taping of ""Adulting""?",Signs point to yes
Do birds enjoy flying?,Signs point to yes
Do I make better chocolate chip cookies than my aunt amy?,Signs point to yes
Do I need new locks?,Signs point to yes
Do I need to become more open to collaboration?,Signs point to yes
Do I need to clean my closet?,Signs point to yes
Do I need to clean my desk?,Signs point to yes
Do I need to clean my room?,Signs point to yes
Do I need to get a side hustle?,Signs point to yes
Do I need to get healthy?,Signs point to yes
Do I need to quit smoking?,Signs point to yes
Do I need to talk to my dad about his license?,Signs point to yes
Do people who volunteer live longer?,Signs point to yes
Does praying help your mental health?,Signs point to yes
Does this object bring me joy?,Signs point to yes
Does voting matter?,Signs point to yes
"Is ""All I want for Christmas"" the best holiday song of all time?",Signs point to yes
Is December a good time of year to donate extra money?,Signs point to yes
Is Eric good in bed?,Signs point to yes
Is it a good time to plan a weekend getaway with friends?,Signs point to yes
Is it a good time to start a savings plan?,Signs point to yes
Is it important to vote in local elections?,Signs point to yes
Is jazz music good?,Signs point to yes
Is Love Island (UK) a good tv show?,Signs point to yes
Is my apartment too messy?,Signs point to yes
Is nostalgia a toxic impulse?,Signs point to yes
Is now a good time to upgrade my personal finance skills?,Signs point to yes
Is the sky blue?,Signs point to yes
Is this a good time to start writing my novel?,Signs point to yes
Is this a good year to move to Canada?,Signs point to yes
Is this the right time to apologize to Kevin?,Signs point to yes
Is this the year that I can stick to healthier habits?,Signs point to yes
Is volunteering good for your health?,Signs point to yes
Is wood working a dangerous hobby for me to try?,Signs point to yes
Should I apologize?,Signs point to yes
Should I ask if I hurt his feelings?,Signs point to yes
Should I be more open with my relatives?,Signs point to yes
Should I be more proactive?,Signs point to yes
Should I be the bigger person?,Signs point to yes
Should I be the one to break the silence?,Signs point to yes
Should I be tipping more than 10%?,Signs point to yes
Should I become Big Brother?,Signs point to yes
Should I call my parents more often?,Signs point to yes
Should I consider adopting a healthier diet and lifestyle?,Signs point to yes
Should I consider volunteering for a local charity?,Signs point to yes
Should I declutter my apartment during the holiday vacation?,Signs point to yes
Should I dedicate time to meditation for mental clarity?,Signs point to yes
Should I dedicate time to personal reflection and growth?,Signs point to yes
Should I delete my Facebook account?,Signs point to yes
Should I delete my Instagram account?,Signs point to yes
Should I donate money to my local library?,Signs point to yes
Should I donate money to my local school fundraiser?,Signs point to yes
Should I drop $20 on the ground just to make someone else have a nice surprise?,Signs point to yes
Should I embrace change ?,Signs point to yes
Should I find more ways to be creative in my freetime?,Signs point to yes
Should I flag my ethical concerns to my boss?,Signs point to yes
Should I get a high yield savings account?,Signs point to yes
Should I get a new hobby to make friends?,Signs point to yes
Should I get a water barrel?,Signs point to yes
Should I have our drainage inspected?,Signs point to yes
Should I invest in developing my personal brand online?,Signs point to yes
Should I invest in eco-friendly lifestyle changes?,Signs point to yes
Should I invite my friends to my gymnastics competition?,Signs point to yes
Should I invite my parents to my lecture?,Signs point to yes
Should I join a non-English speaking meet up group to practice language skills?,Signs point to yes
Should I join AA?,Signs point to yes
Should I join that book club even though I'm dyslexic?,Signs point to yes
Should I keep applying to jobs?,Signs point to yes
Should I learn a new language?,Signs point to yes
Should I organize this year's school fundraiser?,Signs point to yes
Should I pay my taxes?,Signs point to yes
Should I plant indigenous plants in my backyard?,Signs point to yes
Should I prioritize relaxation in the next few days?,Signs point to yes
Should I pursue a career change for better work-life balance?,Signs point to yes
Should I pursue a more sustainable lifestyle?,Signs point to yes
Should I put more effort into my friendships?,Signs point to yes
Should I quit smoking?,Signs point to yes
Should I re-wild my garden?,Signs point to yes
Should I reach out to new potential clients?,Signs point to yes
Should I read the classics?,Signs point to yes
Should I register with a particular political party so I can vote in the primaries?,Signs point to yes
Should I see a therapist?,Signs point to yes
Should I sign up for an advising session next week?,Signs point to yes
Should I speak at my grandpa's funeral?,Signs point to yes
Should I spend more time in nature for peace of mind?,Signs point to yes
Should I spend more time listening to music?,Signs point to yes
Should I spend more time outdoors for overall well-being?,Signs point to yes
Should I stage an intervention for Jimmy?,Signs point to yes
Should I start a band with my friends?,Signs point to yes
Should I start a gratitude journal?,Signs point to yes
Should I start listening to different genres of music?,Signs point to yes
Should I start saving for retirement?,Signs point to yes
Should I start saving up for a trip to Paris?,Signs point to yes
Should I stop smoking weed?,Signs point to yes
Should I tell Ann that I felt misled?,Signs point to yes
Should I tell aunt Wendy to stop commenting on my weight?,Signs point to yes
Should I tell Ernie that they need to shower more?,Signs point to yes
Should I tell Kelly that I miss her?,Signs point to yes
Should I tell Miranda that everyone was talking about the smelly fish?,Signs point to yes
Should I tell Molly how unhappy I am?,Signs point to yes
Should I tell my boyfriend that he eats too loudly?,Signs point to yes
Should I try to find a paid internship this summer?,Signs point to yes
Should I try to travel more?,Signs point to yes
Should I try to volunteer within my own community?,Signs point to yes
Should I upgrade my house's energy efficience?,Signs point to yes
Should I volunteer as a tutor?,Signs point to yes
Should I volunteer for a charitable cause?,Signs point to yes
Should I volunteer for this year's community clean up?,Signs point to yes
Should I volunteer to design this year's t-shirt?,Signs point to yes
Should I volunteer with my local meals on wheels group?,Signs point to yes
Should Morgan and I write a TV pilot?,Signs point to yes
Should my team at work start a new creative project?,Signs point to yes
Should we repaint our bedroom?,Signs point to yes
Should we try eating less meat during family dinners?,Signs point to yes
Will a gratitude journal help with my depression?,Signs point to yes
Will adopting a pet help with my loneliness?,Signs point to yes
Will eating expired fish get me sick?,Signs point to yes
Will going to temple make me feel better?,Signs point to yes
Will helping my mom with dinner make me a better cook?,Signs point to yes
Will I become more comfortable in my own skin over time?,Signs point to yes
Will I ever fall in love?,Signs point to yes
Will I ever know how to save my own PDFs?,Signs point to yes
Will I have a chance to attend a professional development seminar?,Signs point to yes
Will I have a chance to volunteer for a cause I deeply care about?,Signs point to yes
Will I have a chance to volunteer for a cause I'm passionate about?,Signs point to yes
Will I have a chance to volunteer for a meaningful cause?,Signs point to yes
Will I have to give a speach at my friend's wedding?,Signs point to yes
Will I learn to gossip less?,Signs point to yes
Will I make friends at my new job?,Signs point to yes
Will I still feel like myself if I go on anti-depressants?,Signs point to yes
Will I successfully overcome a fear of public speaking in professional settings?,Signs point to yes
Will my team win the championship?,Signs point to yes
Will the production companies meet the workers demands?,Signs point to yes
Would yoga help me stay calm?,Signs point to yes
